"","x"
"2145","AC113279.4"
"2146","AC113291.1"
"2147","AC113299.1"
"2148","AC113316.1"
"2149","AC113320.1"
"2150","AC113321.1"
"2151","AC113474.1"
"2152","AC113480.1"
"2153","AC113480.2"
"2154","AC113480.3"
"2155","AC113483.1"
"2156","AC113484.1"
"2157","AC113486.1"
"2158","AC113490.2"
"2159","AC113493.1"
"2160","AC113495.1"
"2161","AC113504.3"
"2162","AC113507.1"
"2163","AC113514.1"
"2164","AC113527.2"
"2165","AC113547.2"
"2166","AC113593.1"
"2167","AC113595.1"
"2168","AC113595.3"
"2169","AC113597.1"
"2170","AC113936.1"
"2171","AC113941.1"
"2172","AC113941.1|Nr3c2"
"2173","AC113952.3"
"2174","AC113955.1"
"2175","AC113961.3"
"2176","AC113961.3|AC157914.2"
"2177","AC113961.3|AC157914.3"
"2178","AC113961.3|Ak3"
"2179","AC113961.3|Rcl1"
"2180","AC113977.1"
"2181","AC113977.1|Ahctf1"
"2182","AC113980.1"
"2183","AC113985.1"
"2184","AC113988.1"
"2185","AC113988.3"
"2186","AC113990.1"
"2187","AC113999.1"
"2188","AC114001.1"
"2189","AC114001.3"
"2190","AC114008.1"
"2191","AC114404.1"
"2192","AC114420.1"
"2193","AC114425.2"
"2194","AC114558.3"
"2195","AC114585.1"
"2196","AC114588.1"
"2197","AC114618.1"
"2198","AC114619.1"
"2199","AC114632.1"
"2200","AC114645.1"
"2201","AC114645.2"
"2202","AC114655.1"
"2203","AC114657.1"
"2204","AC114657.2"
"2205","AC114661.1"
"2206","AC114666.1"
"2207","AC114668.1"
"2208","AC114674.2"
"2209","AC114675.1"
"2210","AC114675.2"
"2211","AC114824.1"
"2212","AC114901.1"
"2213","AC114905.1"
"2214","AC114916.1"
"2215","AC114924.1"
"2216","AC114988.1"
"2217","AC114993.1"
"2218","AC114993.1|Fbxw8"
"2219","AC115003.1"
"2220","AC115005.1"
"2221","AC115005.3"
"2222","AC115011.1"
"2223","AC115011.3"
"2224","AC115011.4"
"2225","AC115013.2"
"2226","AC115033.2"
"2227","AC115033.3"
"2228","AC115050.1"
"2229","AC115062.1"
"2230","AC115078.1"
"2231","AC115117.1"
"2232","AC115121.2"
"2233","AC115121.3"
"2234","AC115124.1"
"2235","AC115361.1"
"2236","AC115629.1"
"2237","AC115697.1"
"2238","AC115706.1"
"2239","AC115723.1"
"2240","AC115727.1"
"2241","AC115742.1"
"2242","AC115752.1"
"2243","AC115763.1"
"2244","AC115763.2"
"2245","AC115767.2"
"2246","AC115767.3"
"2247","AC115767.4"
"2248","AC115767.5"
"2249","AC115785.1"
"2250","AC115795.1"
"2251","AC115795.2"
"2252","AC115795.3"
"2253","AC115800.1"
"2254","AC115802.1"
"2255","AC115804.1"
"2256","AC115820.1"
"2257","AC115832.1"
"2258","AC115846.1"
"2259","AC115847.1"
"2260","AC115855.1"
"2261","AC115860.1"
"2262","AC115876.1"
"2263","AC115877.1"
"2264","AC115880.1"
"2265","AC115889.1"
"2266","AC115907.1"
"2267","AC115920.1"
"2268","AC115928.1"
"2269","AC115947.1"
"2270","AC115959.2"
"2271","AC115968.1"
"2272","AC115970.1"
"2273","AC115972.1"
"2274","AC115972.4"
"2275","AC115972.5"
"2276","AC115978.1"
"2277","AC116115.1|Vamp5"
"2278","AC116115.2"
"2279","AC116130.1"
"2280","AC116130.2"
"2281","AC116130.3"
"2282","AC116136.1"
"2283","AC116136.2"
"2284","AC116151.1"
"2285","AC116387.1"
"2286","AC116389.1"
"2287","AC116392.1"
"2288","AC116394.1"
"2289","AC116394.2"
"2290","AC116394.3"
"2291","AC116395.1"
"2292","AC116421.1"
"2293","AC116472.1"
"2294","AC116498.1"
"2295","AC116499.1"
"2296","AC116500.2"
"2297","AC116500.3"
"2298","AC116500.5"
"2299","AC116500.7"
"2300","AC116500.8"
"2301","AC116520.1"
"2302","AC116527.1"
"2303","AC116529.1"
"2304","AC116556.1"
"2305","AC116557.1"
"2306","AC116573.1"
"2307","AC116589.1"
"2308","AC116589.2"
"2309","AC116589.3"
"2310","AC116590.2"
"2311","AC116590.3"
"2312","AC116591.1"
"2313","AC116591.2"
"2314","AC116591.2|Homez"
"2315","AC116677.1"
"2316","AC116686.1"
"2317","AC116705.1"
"2318","AC116718.1"
"2319","AC116720.1"
"2320","AC116764.4"
"2321","AC116769.1"
"2322","AC116798.1"
"2323","AC116801.1"
"2324","AC116825.1"
"2325","AC116841.1"
"2326","AC116856.1"
"2327","AC116871.1"
"2328","AC116997.2"
"2329","AC116999.1"
"2330","AC117194.1"
"2331","AC117226.1"
"2332","AC117226.2"
"2333","AC117230.1"
"2334","AC117230.2"
"2335","AC117230.3"
"2336","AC117230.4"
"2337","AC117235.1"
"2338","AC117241.2"
"2339","AC117246.1"
"2340","AC117250.1"
"2341","AC117253.1"
"2342","AC117577.1"
"2343","AC117578.2"
"2344","AC117584.1"
"2345","AC117584.2"
"2346","AC117584.3"
"2347","AC117588.1"
"2348","AC117602.1"
"2349","AC117612.1"
"2350","AC117621.1"
"2351","AC117644.2"
"2352","AC117663.1"
"2353","AC117663.2"
"2354","AC117663.4"
"2355","AC117667.1"
"2356","AC117667.2"
"2357","AC117671.1"
"2358","AC117678.13"
"2359","AC117679.1"
"2360","AC117684.1"
"2361","AC117684.2"
"2362","AC117724.1"
"2363","AC117735.1"
"2364","AC117735.2"
"2365","AC117783.2"
"2366","AC117799.1"
"2367","AC117807.1"
"2368","AC117837.1"
"2369","AC117837.3"
"2370","AC118011.1"
"2371","AC118208.1"
"2372","AC118226.1"
"2373","AC118227.1"
"2374","AC118240.1"
"2375","AC118255.1"
"2376","AC118260.1"
"2377","AC118260.2"
"2378","AC118263.2"
"2379","AC118474.1"
"2380","AC118475.1"
"2381","AC118477.1"
"2382","AC118561.1"
"2383","AC118620.3"
"2384","AC118627.1"
"2385","AC118640.1"
"2386","AC118698.1"
"2387","AC118698.2"
"2388","AC118704.1"
"2389","AC118704.2"
"2390","AC118704.3"
"2391","AC118704.4"
"2392","AC118704.5"
"2393","AC118710.1"
"2394","AC118710.2"
"2395","AC118727.1"
"2396","AC119189.1"
"2397","AC119196.1"
"2398","AC119200.1"
"2399","AC119200.3"
"2400","AC119204.1"
"2401","AC119204.2"
"2402","AC119211.1"
"2403","AC119212.1"
"2404","AC119212.2"
"2405","AC119214.1"
"2406","AC119237.1"
"2407","AC119266.1"
"2408","AC119266.2"
"2409","AC119271.1"
"2410","AC119275.1"
"2411","AC119801.1"
"2412","AC119809.3"
"2413","AC119848.1"
"2414","AC119856.1"
"2415","AC119856.2"
"2416","AC119857.1"
"2417","AC119873.1"
"2418","AC119880.1"
"2419","AC119899.1"
"2420","AC119928.1"
"2421","AC119928.2"
"2422","AC119928.3"
"2423","AC119939.1"
"2424","AC119957.1"
"2425","AC119977.1"
"2426","AC120020.1"
"2427","AC120020.2"
"2428","AC120128.1"
"2429","AC120159.1"
"2430","AC120159.2"
"2431","AC120180.1"
"2432","AC120217.1"
"2433","AC120353.1"
"2434","AC120367.1"
"2435","AC120381.1"
"2436","AC120403.1"
"2437","AC120404.1"
"2438","AC120404.2"
"2439","AC120404.3"
"2440","AC120404.4"
"2441","AC120540.1"
"2442","AC120785.1"
"2443","AC120787.1"
"2444","AC120788.1"
"2445","AC120788.2"
"2446","AC120791.1"
"2447","AC120865.1"
"2448","AC120865.2"
"2449","AC120869.1"
"2450","AC120871.1"
"2451","AC120877.1"
"2452","AC121097.1"
"2453","AC121099.1"
"2454","AC121108.1"
"2455","AC121113.2"
"2456","AC121114.1"
"2457","AC121119.1"
"2458","AC121121.1"
"2459","AC121131.1"
"2460","AC121131.2"
"2461","AC121131.3"
"2462","AC121131.4"
"2463","AC121131.5"
"2464","AC121147.1"
"2465","AC121264.1"
"2466","AC121268.1"
"2467","AC121290.1"
"2468","AC121301.1"
"2469","AC121499.2"
"2470","AC121551.1"
"2471","AC121566.1"
"2472","AC121566.2"
"2473","AC121569.1"
"2474","AC121569.2"
"2475","AC121570.1"
"2476","AC121575.1"
"2477","AC121576.1"
"2478","AC121578.2"
"2479","AC121578.2|4930522N08Rik"
"2480","AC121580.1"
"2481","AC121599.2"
"2482","AC121600.1"
"2483","AC121603.1"
"2484","AC121774.1"
"2485","AC121775.2"
"2486","AC121785.1"
"2487","AC121789.1"
"2488","AC121792.4"
"2489","AC121800.1"
"2490","AC121818.2"
"2491","AC121821.2"
"2492","AC121823.1"
"2493","AC121823.2"
"2494","AC121823.3"
"2495","AC121825.1"
"2496","AC121826.1"
"2497","AC121826.2"
"2498","AC121826.3"
"2499","AC121827.1"
"2500","AC121827.2"
"2501","AC121827.3"
"2502","AC121827.4"
"2503","AC121827.5"
"2504","AC121827.6"
"2505","AC121838.2"
"2506","AC121839.1"
"2507","AC121843.1"
"2508","AC121845.1"
"2509","AC121911.1"
"2510","AC121911.2"
"2511","AC121914.2"
"2512","AC121915.1"
"2513","AC121926.1"
"2514","AC121937.1"
"2515","AC121959.2"
"2516","AC121964.1"
"2517","AC121967.1"
"2518","AC121975.2"
"2519","AC121985.1"
"2520","AC121996.1"
"2521","AC122004.1"
"2522","AC122005.1"
"2523","AC122005.2"
"2524","AC122013.1"
"2525","AC122015.1"
"2526","AC122020.1"
"2527","AC122023.1"
"2528","AC122023.1|Traf3"
"2529","AC122036.1"
"2530","AC122037.1"
"2531","AC122037.1|Polr3gl"
"2532","AC122037.2"
"2533","AC122037.2|Txnip"
"2534","AC122038.1"
"2535","AC122117.1"
"2536","AC122117.2"
"2537","AC122127.1"
"2538","AC122183.2"
"2539","AC122184.1"
"2540","AC122184.2"
"2541","AC122184.3"
"2542","AC122186.1"
"2543","AC122190.1"
"2544","AC122190.3"
"2545","AC122193.1"
"2546","AC122194.1"
"2547","AC122203.2"
"2548","AC122226.1"
"2549","AC122242.2"
"2550","AC122248.2"
"2551","AC122248.3"
"2552","AC122252.1"
"2553","AC122257.1"
"2554","AC122259.1"
"2555","AC122260.1"
"2556","AC122260.2"
"2557","AC122260.3"
"2558","AC122261.1"
"2559","AC122281.1"
"2560","AC122281.2"
"2561","AC122285.1"
"2562","AC122295.1"
"2563","AC122296.1"
"2564","AC122305.1"
"2565","AC122305.1|Scn2b"
"2566","AC122307.1"
"2567","AC122311.1"
"2568","AC122313.1"
"2569","AC122313.2"
"2570","AC122313.3"
"2571","AC122322.1"
"2572","AC122327.1"
"2573","AC122351.1"
"2574","AC122353.1"
"2575","AC122357.2"
"2576","AC122372.2"
"2577","AC122373.1"
"2578","AC122387.1"
"2579","AC122400.1"
"2580","AC122402.1"
"2581","AC122402.2"
"2582","AC122406.2"
"2583","AC122408.1"
"2584","AC122411.1"
"2585","AC122416.1"
"2586","AC122425.1"
"2587","AC122428.2"
"2588","AC122428.3"
"2589","AC122428.5"
"2590","AC122432.1"
"2591","AC122432.2"
"2592","AC122447.1"
"2593","AC122451.3"
"2594","AC122454.2"
"2595","AC122457.1"
"2596","AC122457.2"
"2597","AC122458.1"
"2598","AC122459.1"
"2599","AC122464.1"
"2600","AC122464.2"
"2601","AC122465.1"
"2602","AC122466.1"
"2603","AC122468.1"
"2604","AC122475.1"
"2605","AC122481.1"
"2606","AC122487.1"
"2607","AC122490.1"
"2608","AC122490.2"
"2609","AC122497.1"
"2610","AC122503.1"
"2611","AC122514.1"
"2612","AC122520.1"
"2613","AC122520.2"
"2614","AC122521.1"
"2615","AC122525.1"
"2616","AC122535.1"
"2617","AC122535.2"
"2618","AC122535.3"
"2619","AC122542.1"
"2620","AC122546.1"
"2621","AC122546.3"
"2622","AC122556.1"
"2623","AC122562.1"
"2624","AC122735.2"
"2625","AC122736.2"
"2626","AC122753.1"
"2627","AC122769.1"
"2628","AC122771.2"
"2629","AC122771.3"
"2630","AC122773.1"
"2631","AC122775.1"
"2632","AC122796.1"
"2633","AC122800.2"
"2634","AC122806.2"
"2635","AC122806.3"
"2636","AC122809.1"
"2637","AC122813.1"
"2638","AC122813.2"
"2639","AC122813.3"
"2640","AC122813.4"
"2641","AC122813.5"
"2642","AC122813.6"
"2643","AC122813.7"
"2644","AC122813.8"
"2645","AC122814.1"
"2646","AC122814.2"
"2647","AC122819.3"
"2648","AC122821.1"
"2649","AC122821.2"
"2650","AC122845.1"
"2651","AC122848.2"
"2652","AC122849.1"
"2653","AC122849.2"
"2654","AC122849.3"
"2655","AC122849.4"
"2656","AC122849.5"
"2657","AC122849.6"
"2658","AC122853.1"
"2659","AC122861.3"
"2660","AC122861.4"
"2661","AC122863.3"
"2662","AC122863.4"
"2663","AC122865.1"
"2664","AC122867.1"
"2665","AC122881.1"
"2666","AC122882.1"
"2667","AC122889.1"
"2668","AC122889.1|Gm10561"
"2669","AC122889.1|Mars2"
"2670","AC122889.1|Rftn2"
"2671","AC122889.1|Rftn2|Gm10561"
"2672","AC122902.1"
"2673","AC122912.1"
"2674","AC122913.1"
"2675","AC122916.1"
"2676","AC122918.2"
"2677","AC122918.3"
"2678","AC122918.4"
"2679","AC122918.5"
"2680","AC122923.1"
"2681","AC122929.1"
"2682","AC122932.2"
"2683","AC123033.1"
"2684","AC123039.1"
"2685","AC123045.1"
"2686","AC123048.1"
"2687","AC123057.1"
"2688","AC123060.1"
"2689","AC123067.1"
"2690","AC123071.1"
"2691","AC123557.1"
"2692","AC123600.1"
"2693","AC123605.1"
"2694","AC123606.1"
"2695","AC123619.1"
"2696","AC123647.1"
"2697","AC123650.1"
"2698","AC123661.1"
"2699","AC123665.1"
"2700","AC123679.1"
"2701","AC123686.2"
"2702","AC123686.3"
"2703","AC123687.1"
"2704","AC123693.1"
"2705","AC123697.1"
"2706","AC123702.1"
"2707","AC123708.1"
"2708","AC123720.1"
"2709","AC123724.1"
"2710","AC123744.1"
"2711","AC123747.1"
"2712","AC123760.1"
"2713","AC123795.1"
"2714","AC123803.1"
"2715","AC123808.1"
"2716","AC123821.1"
"2717","AC123825.1"
"2718","AC123828.1"
"2719","AC123828.2"
"2720","AC123829.1"
"2721","AC123829.3"
"2722","AC123829.4"
"2723","AC123830.2"
"2724","AC123830.3"
"2725","AC123834.1"
"2726","AC123834.2"
"2727","AC123838.1"
"2728","AC123854.1"
"2729","AC123856.2"
"2730","AC123856.4"
"2731","AC123857.1"
"2732","AC123859.1"
"2733","AC123859.2"
"2734","AC123868.4"
"2735","AC123870.1"
"2736","AC123874.1"
"2737","AC123917.1"
"2738","AC123920.1"
"2739","AC123925.1"
"2740","AC123930.2"
"2741","AC123935.1"
"2742","AC123942.1"
"2743","AC123943.1"
"2744","AC123977.1"
"2745","AC124005.2"
"2746","AC124080.1"
"2747","AC124106.1"
"2748","AC124107.1"
"2749","AC124113.1"
"2750","AC124120.1"
"2751","AC124128.1"
"2752","AC124134.1"
"2753","AC124170.1"
"2754","AC124170.2"
"2755","AC124176.2"
"2756","AC124176.2|Klk1"
"2757","AC124181.1"
"2758","AC124181.2"
"2759","AC124186.1"
"2760","AC124188.1"
"2761","AC124193.1"
"2762","AC124228.1"
"2763","AC124235.1"
"2764","AC124327.3"
"2765","AC124327.3|Mef2b"
"2766","AC124347.1"
"2767","AC124373.1"
"2768","AC124379.2"
"2769","AC124379.3"
"2770","AC124383.1"
"2771","AC124387.1"
"2772","AC124387.3"
"2773","AC124390.1"
"2774","AC124394.1"
"2775","AC124394.2"
"2776","AC124394.3"
"2777","AC124394.4"
"2778","AC124395.1"
"2779","AC124406.1"
"2780","AC124417.1"
"2781","AC124426.2"
"2782","AC124426.4"
"2783","AC124426.5"
"2784","AC124428.1"
"2785","AC124433.1"
"2786","AC124444.1"
"2787","AC124453.1"
"2788","AC124453.3"
"2789","AC124457.3"
"2790","AC124460.1"
"2791","AC124461.1"
"2792","AC124469.1"
"2793","AC124479.1"
"2794","AC124479.2"
"2795","AC124502.1"
"2796","AC124505.1"
"2797","AC124505.2"
"2798","AC124506.1"
"2799","AC124515.1"
"2800","AC124537.1"
"2801","AC124537.2"
"2802","AC124537.2|1810022C23Rik"
"2803","AC124550.1"
"2804","AC124550.2"
"2805","AC124552.1"
"2806","AC124553.1"
"2807","AC124554.1"
"2808","AC124566.1"
"2809","AC124568.1"
"2810","AC124569.1"
"2811","AC124569.2"
"2812","AC124576.1"
"2813","AC124581.1"
"2814","AC124585.1"
"2815","AC124589.1"
"2816","AC124589.2"
"2817","AC124589.3"
"2818","AC124601.1"
"2819","AC124601.2"
"2820","AC124634.1"
"2821","AC124659.2"
"2822","AC124659.2|Depdc6"
"2823","AC124662.1"
"2824","AC124669.1"
"2825","AC124681.2"
"2826","AC124681.3"
"2827","AC124682.1"
"2828","AC124687.1"
"2829","AC124701.1"
"2830","AC124712.1"
"2831","AC124712.2"
"2832","AC124717.1"
"2833","AC124717.3"
"2834","AC124717.4"
"2835","AC124724.1"
"2836","AC124730.1"
"2837","AC124730.4"
"2838","AC124730.5"
"2839","AC124732.1"
"2840","AC124732.4"
"2841","AC124732.5"
"2842","AC124739.1"
"2843","AC124739.2"
"2844","AC124758.1"
"2845","AC124758.2"
"2846","AC124762.1"
"2847","AC124771.2"
"2848","AC124779.1"
"2849","AC124807.1"
"2850","AC124807.4"
"2851","AC124821.1"
"2852","AC124828.1"
"2853","AC124976.1"
"2854","AC124977.1"
"2855","AC124979.1"
"2856","AC124987.2"
"2857","AC124987.3"
"2858","AC124998.2"
"2859","AC125005.1"
"2860","AC125010.1"
"2861","AC125016.1"
"2862","AC125016.2"
"2863","AC125021.1"
"2864","AC125028.1"
"2865","AC125040.1"
"2866","AC125041.1"
"2867","AC125045.1"
"2868","AC125047.1"
"2869","AC125055.1"
"2870","AC125055.2"
"2871","AC125066.1"
"2872","AC125068.1"
"2873","AC125070.3"
"2874","AC125071.1"
"2875","AC125077.1"
"2876","AC125090.1"
"2877","AC125090.2"
"2878","AC125090.3"
"2879","AC125090.4"
"2880","AC125099.2"
"2881","AC125101.2"
"2882","AC125103.1"
"2883","AC125115.2"
"2884","AC125136.1"
"2885","AC125143.2"
"2886","AC125148.1"
"2887","AC125160.1"
"2888","AC125163.1"
"2889","AC125170.1"
"2890","AC125181.1"
"2891","AC125185.1"
"2892","AC125186.1"
"2893","AC125186.2"
"2894","AC125189.1"
"2895","AC125189.2"
"2896","AC125189.3"
"2897","AC125190.1"
"2898","AC125199.2"
"2899","AC125199.3"
"2900","AC125199.4"
"2901","AC125200.2"
"2902","AC125200.3"
"2903","AC125200.4"
"2904","AC125204.2"
"2905","AC125207.1"
"2906","AC125209.4"
"2907","AC125212.2"
"2908","AC125223.2"
"2909","AC125226.1"
"2910","AC125228.1"
"2911","AC125228.3"
"2912","AC125228.4"
"2913","AC125228.5"
"2914","AC125228.7"
"2915","AC125228.9"
"2916","AC125254.1"
"2917","AC125268.1"
"2918","AC125275.1"
"2919","AC125275.2"
"2920","AC125276.1"
"2921","AC125279.1"
"2922","AC125321.1"
"2923","AC125326.1"
"2924","AC125329.2"
"2925","AC125344.1"
"2926","AC125348.1"
"2927","AC125360.1"
"2928","AC125371.2"
"2929","AC125374.1"
"2930","AC125378.1"
"2931","AC125382.1"
"2932","AC125382.2"
"2933","AC125382.3"
"2934","AC125382.4"
"2935","AC125400.1"
"2936","AC125407.1"
"2937","AC125460.1"
"2938","AC125465.1"
"2939","AC125483.1"
"2940","AC125486.1"
"2941","AC125535.1"
"2942","AC125541.2"
"2943","AC125543.1"
"2944","AC126025.1"
"2945","AC126026.1"
"2946","AC126042.1"
"2947","AC126045.1"
"2948","AC126045.2"
"2949","AC126045.2|Gm5433"
"2950","AC126053.2"
"2951","AC126053.3"
"2952","AC126250.2"
"2953","AC126250.3"
"2954","AC126250.4"
"2955","AC126250.5"
"2956","AC126250.6"
"2957","AC126250.8"
"2958","AC126266.1"
"2959","AC126266.2"
"2960","AC126273.1"
"2961","AC126273.2"
"2962","AC126274.1"
"2963","AC126274.2"
"2964","AC126278.1"
"2965","AC126408.1"
"2966","AC126408.2"
"2967","AC126408.4"
"2968","AC126409.1"
"2969","AC126410.3"
"2970","AC126430.1"
"2971","AC126435.1"
"2972","AC126438.1"
"2973","AC126443.1"
"2974","AC126448.1"
"2975","AC126451.1"
"2976","AC126457.1"
"2977","AC126459.2"
"2978","AC126539.1"
"2979","AC126554.1"
"2980","AC126606.1"
"2981","AC126672.1"
"2982","AC126681.1"
"2983","AC126681.2"
"2984","AC126690.2"
"2985","AC126691.1"
"2986","AC126798.1"
"2987","AC126803.1"
"2988","AC126803.3"
"2989","AC126932.1"
"2990","AC127036.1"
"2991","AC127224.1"
"2992","AC127227.1"
"2993","AC127227.2"
"2994","AC127240.1"
"2995","AC127240.2"
"2996","AC127242.1"
"2997","AC127242.2"
"2998","AC127247.1"
"2999","AC127248.1"
"3000","AC127252.1"
"3001","AC127252.2"
"3002","AC127257.1"
"3003","AC127270.1"
"3004","AC127280.1"
"3005","AC127285.1"
"3006","AC127300.1"
"3007","AC127308.3"
"3008","AC127317.1"
"3009","AC127324.1"
"3010","AC127324.2"
"3011","AC127330.1"
"3012","AC127331.1"
"3013","AC127331.2"
"3014","AC127331.3"
"3015","AC127331.4"
"3016","AC127332.1"
"3017","AC127334.1"
"3018","AC127336.1"
"3019","AC127336.2"
"3020","AC127336.3"
"3021","AC127338.1"
"3022","AC127341.1"
"3023","AC127341.2"
"3024","AC127349.1"
"3025","AC127349.2"
"3026","AC127355.1"
"3027","AC127355.2"
"3028","AC127366.1"
"3029","AC127369.1"
"3030","AC127373.1"
"3031","AC127416.1"
"3032","AC127420.1"
"3033","AC127423.1"
"3034","AC127431.1"
"3035","AC127554.1"
"3036","AC127556.2"
"3037","AC127556.5"
"3038","AC127568.1"
"3039","AC127573.1"
"3040","AC127580.1"
"3041","AC127677.2"
"3042","AC127684.1"
"3043","AC127690.1"
"3044","AC127694.1"
"3045","AC127695.1"
"3046","AC128662.1"
"3047","AC128663.1"
"3048","AC128668.1"
"3049","AC129014.1"
"3050","AC129018.1"
"3051","AC129024.1"
"3052","AC129078.1"
"3053","AC129082.1"
"3054","AC129174.1"
"3055","AC129174.10"
"3056","AC129174.11"
"3057","AC129174.12"
"3058","AC129174.2"
"3059","AC129174.3"
"3060","AC129174.4"
"3061","AC129174.5"
"3062","AC129174.6"
"3063","AC129174.7"
"3064","AC129174.8"
"3065","AC129174.9"
"3066","AC129179.1"
"3067","AC129181.1"
"3068","AC129188.1"
"3069","AC129197.1"
"3070","AC129197.2"
"3071","AC129197.4"
"3072","AC129205.1"
"3073","AC129217.2|Mta2"
"3074","AC129222.1"
"3075","AC129222.2"
"3076","AC129222.3"
"3077","AC129222.4"
"3078","AC129223.1"
"3079","AC129296.1"
"3080","AC129309.1"
"3081","AC129322.1"
"3082","AC129322.2"
"3083","AC129574.1"
"3084","AC129585.1"
"3085","AC129601.1"
"3086","AC129601.2"
"3087","AC129603.2"
"3088","AC129605.1"
"3089","AC129606.1"
"3090","AC129609.2"
"3091","AC129773.1"
"3092","AC129775.2"
"3093","AC129776.1"
"3094","AC129776.2"
"3095","AC130208.1"
"3096","AC130210.1"
"3097","AC130210.2"
"3098","AC130214.1"
"3099","AC130216.1"
"3100","AC130277.1"
"3101","AC130277.2"
"3102","AC130279.2"
"3103","AC130530.1"
"3104","AC130530.3"
"3105","AC130536.1"
"3106","AC130654.1"
"3107","AC130654.2"
"3108","AC130680.2"
"3109","AC130711.1"
"3110","AC130716.1"
"3111","AC130718.2"
"3112","AC130824.1"
"3113","AC130827.2"
"3114","AC130832.1"
"3115","AC130832.2"
"3116","AC130841.1"
"3117","AC131029.2"
"3118","AC131065.2"
"3119","AC131065.2|Txnl4a"
"3120","AC131081.1"
"3121","AC131084.1"
"3122","AC131105.1"
"3123","AC131111.1"
"3124","AC131116.1"
"3125","AC131116.2"
"3126","AC131116.4"
"3127","AC131120.3"
"3128","AC131184.1"
"3129","AC131187.1"
"3130","AC131332.4"
"3131","AC131338.1"
"3132","AC131340.1"
"3133","AC131665.1"
"3134","AC131690.1"
"3135","AC131691.1"
"3136","AC131691.1|Cryzl1"
"3137","AC131691.3"
"3138","AC131692.1"
"3139","AC131692.3"
"3140","AC131692.4"
"3141","AC131700.2"
"3142","AC131702.1"
"3143","AC131706.1"
"3144","AC131709.1"
"3145","AC131710.1"
"3146","AC131713.1"
"3147","AC131742.2"
"3148","AC131746.1"
"3149","AC131749.1"
"3150","AC131751.1"
"3151","AC131751.3"
"3152","AC131756.1"
"3153","AC131773.2"
"3154","AC131777.1"
"3155","AC131780.10"
"3156","AC131780.6"
"3157","AC131784.1"
"3158","AC131799.1"
"3159","AC131800.1"
"3160","AC131802.1"
"3161","AC131803.3"
"3162","AC131919.1"
"3163","AC131919.3"
"3164","AC131942.1"
"3165","AC131980.1"
"3166","AC131983.1"
"3167","AC131983.2"
"3168","AC132091.1"
"3169","AC132099.1"
"3170","AC132099.2"
"3171","AC132132.1"
"3172","AC132139.1"
"3173","AC132141.1"
"3174","AC132221.2"
"3175","AC132223.1"
"3176","AC132223.2"
"3177","AC132229.2"
"3178","AC132229.3"
"3179","AC132234.1"
"3180","AC132246.1"
"3181","AC132246.2"
"3182","AC132246.2|AC133647.1"
"3183","AC132246.2|Vmn2r37"
"3184","AC132251.2"
"3185","AC132251.3"
"3186","AC132253.1"
"3187","AC132253.2"
"3188","AC132259.1"
"3189","AC132259.2"
"3190","AC132266.1"
"3191","AC132270.1"
"3192","AC132274.1"
"3193","AC132274.4"
"3194","AC132277.1"
"3195","AC132284.2"
"3196","AC132284.4"
"3197","AC132287.1"
"3198","AC132287.3"
"3199","AC132302.1"
"3200","AC132304.1"
"3201","AC132317.1"
"3202","AC132325.1"
"3203","AC132325.2"
"3204","AC132338.1"
"3205","AC132350.1"
"3206","AC132352.1"
"3207","AC132352.2"
"3208","AC132354.1"
"3209","AC132362.1"
"3210","AC132362.2"
"3211","AC132378.1"
"3212","AC132382.1"
"3213","AC132389.1"
"3214","AC132393.1"
"3215","AC132397.1"
"3216","AC132405.1"
"3217","AC132406.1"
"3218","AC132406.2"
"3219","AC132412.4"
"3220","AC132418.1"
"3221","AC132451.1"
"3222","AC132452.1"
"3223","AC132453.1"
"3224","AC132462.1"
"3225","AC132468.1"
"3226","AC132471.1"
"3227","AC132567.2"
"3228","AC132567.3"
"3229","AC132567.5"
"3230","AC132581.1"
"3231","AC132586.1"
"3232","AC132587.1"
"3233","AC132602.1"
"3234","AC132607.1"
"3235","AC132617.1"
"3236","AC132681.1"
"3237","AC132685.1"
"3238","AC132833.1"
"3239","AC132863.1"
"3240","AC132878.1"
"3241","AC132901.1"
"3242","AC132955.1"
"3243","AC132957.1"
"3244","AC133081.1"
"3245","AC133083.2"
"3246","AC133083.3"
"3247","AC133085.1"
"3248","AC133085.2"
"3249","AC133094.1"
"3250","AC133094.10"
"3251","AC133094.12"
"3252","AC133094.13"
"3253","AC133094.2"
"3254","AC133094.3"
"3255","AC133094.4"
"3256","AC133094.5"
"3257","AC133094.6"
"3258","AC133094.8"
"3259","AC133094.9"
"3260","AC133096.1"
"3261","AC133097.2"
"3262","AC133097.2|Ptprv"
"3263","AC133098.1"
"3264","AC133159.1"
"3265","AC133161.1"
"3266","AC133179.1"
"3267","AC133184.1"
"3268","AC133187.1"
"3269","AC133187.3"
"3270","AC133195.1"
"3271","AC133196.1"
"3272","AC133199.1"
"3273","AC133456.1"
"3274","AC133459.2"
"3275","AC133459.4"
"3276","AC133464.1"
"3277","AC133494.1"
"3278","AC133494.2"
"3279","AC133494.3"
"3280","AC133496.1"
"3281","AC133499.2"
"3282","AC133502.2"
"3283","AC133509.1"
"3284","AC133509.4"
"3285","AC133510.1"
"3286","AC133514.1"
"3287","AC133514.2"
"3288","AC133517.1"
"3289","AC133578.1"
"3290","AC133581.1"
"3291","AC133581.2"
"3292","AC133585.1"
"3293","AC133589.1"
"3294","AC133646.1"
