"","x"
"238","1700023A16Rik"
"239","1700023E05Rik"
"240","1700023F06Rik"
"241","1700023I07Rik"
"242","1700023L04Rik"
"243","1700024B05Rik"
"244","1700024B05Rik|AC127230.2"
"245","1700024G13Rik"
"246","1700024P04Rik"
"247","1700024P16Rik"
"248","1700025C18Rik"
"249","1700025F22Rik"
"250","1700025G04Rik"
"251","1700025H01Rik"
"252","1700025K23Rik"
"253","1700025O08Rik"
"254","1700026D08Rik"
"255","1700026J04Rik"
"256","1700026J12Rik"
"257","1700027A23Rik"
"258","1700027L20Rik"
"259","1700028I16Rik"
"260","1700028J19Rik"
"261","1700028K03Rik"
"262","1700028K03Rik|Glmn"
"263","1700028N14Rik"
"264","1700028P14Rik"
"265","1700029F09Rik"
"266","1700029F09Rik|Kdelc1"
"267","1700029F12Rik"
"268","1700029G01Rik"
"269","1700029H14Rik"
"270","1700029I01Rik"
"271","1700029I01Rik|RP23-384D6.6"
"272","1700029I15Rik"
"273","1700029J07Rik"
"274","1700029J11Rik"
"275","1700029P11Rik"
"276","1700030C10Rik"
"277","1700030F18Rik"
"278","1700030J22Rik"
"279","1700030K09Rik"
"280","1700030K09Rik|Cherp"
"281","1700031F05Rik"
"282","1700031F10Rik"
"283","1700034E13Rik"
"284","1700034F02Rik"
"285","1700034H15Rik"
"286","1700034J04Rik"
"287","1700036A12Rik"
"288","1700037C18Rik|Cluap1"
"289","1700037H04Rik"
"290","1700038P13Rik"
"291","1700039E15Rik"
"292","1700040I03Rik"
"293","1700040L02Rik"
"294","1700041G16Rik"
"295","1700042B14Rik"
"296","1700047G07Rik"
"297","1700048O20Rik"
"298","1700049E17Rik1"
"299","1700049G17Rik"
"300","1700049J03Rik"
"301","1700049L16Rik"
"302","1700052N19Rik"
"303","1700054N08Rik"
"304","1700054O13Rik"
"305","1700054O19Rik"
"306","1700055N04Rik"
"307","1700057G04Rik"
"308","1700057K13Rik"
"309","1700058C13Rik"
"310","1700061G19Rik"
"311","1700061I17Rik"
"312","1700061J05Rik"
"313","1700063H04Rik"
"314","1700065I17Rik"
"315","1700066B19Rik"
"316","1700066B19Rik|Ecscr"
"317","1700066J24Rik"
"318","1700066J24Rik|2310028H24Rik"
"319","1700066M21Rik"
"320","1700067K01Rik"
"321","1700067P10Rik"
"322","1700069B07Rik"
"323","1700069L16Rik"
"324","1700072E05Rik"
"325","1700074P13Rik"
"326","1700080E11Rik"
"327","1700080G18Rik"
"328","1700080O16Rik"
"329","1700081L11Rik"
"330","1700084C01Rik"
"331","1700086L19Rik"
"332","1700088E04Rik"
"333","1700090G07Rik"
"334","1700092K14Rik"
"335","1700093J21Rik"
"336","1700093K21Rik"
"337","1700094C09Rik"
